cat,n,ol_old_pct,ol_new_pct,ol_old,ol_new,f2_old,f2_new,colout_old,colout_new,old_colors,new_colors,de_old,de_new,de_delta_ng,dark_ratio,gate_pct,better,equal,worse,ci_pass
cartoons,49,0.92576864277221,0.0,31.142857142857142,0.0,4.26530612244898,12.877551020408163,8.53061224489796,60.30612244897959,11.73469387755102,11.428571428571429,5.011571428571427,9.61212244897959,4.204023255813954,1.1376428338230493,12.244897959183673,46,1,2,True
lineart,50,2.5124851367419736,0.0,84.52,0.0,4.7,38.26,2.7,182.66,10.1,10.28,4.6046,13.929300000000001,9.3247,2.517937350522079,0.0,47,3,0,True
pixelart,49,2.1761023077483075,0.0,73.20408163265306,0.0,15.448979591836734,26.816326530612244,49.61224489795919,94.20408163265306,34.40816326530612,38.30612244897959,8.102408163265308,15.86330612244898,5.180941176470588,0.8957230506269372,65.3061224489796,48,1,0,True
landscape,50,0.4863258026159334,0.0,16.36,0.0,16.92,28.88,33.78,78.2,23.36,30.42,8.27246,14.201480000000002,3.5341199999999997,0.9118246449184051,50.0,33,17,0,True
portrait,50,0.8507728894173603,0.0,28.62,0.0,11.24,18.22,31.52,162.34,24.08,33.06,7.8737200000000005,14.2497,3.1813529411764705,0.9105879119620731,66.0,38,12,0,True
food,49,1.1108010386080711,0.0,37.36734693877551,0.0,16.551020408163264,24.224489795918366,24.6734693877551,66.59183673469387,37.40816326530612,46.55102040816327,8.441469387755102,15.364040816326533,4.068208333333334,0.8874364560639071,51.02040816326531,48,1,0,True
random,50,0.425089179548157,0.0,14.3,0.0,14.64,23.14,31.64,150.7,21.52,29.64,8.281279999999999,14.83118,3.5433043478260875,0.9494301447048278,54.0,29,21,0,True
