cat,file,gate,old_colors,new_colors,old_comp,new_comp,old_frag,new_frag,old_dark,new_dark,agree_pct
lineart,lineart_048.jpg,0,9,4,271,39,287,30,184,306,91.3
lineart,lineart_049.jpg,0,8,11,263,60,245,65,0,66,82.0
lineart,lineart_x_101.jpg,0,7,14,158,322,134,320,0,230,7.3
lineart,lineart_x_102.jpg,0,6,14,265,351,235,330,0,277,6.1
lineart,lineart_x_103.jpg,0,12,19,529,821,428,770,211,496,44.3
lineart,lineart_x_104.jpg,0,15,18,358,376,345,365,207,472,68.1
lineart,lineart_x_105.jpg,0,15,17,325,493,317,459,48,154,59.9
lineart,lineart_x_106.jpg,0,8,15,472,716,448,681,151,151,30.4
lineart,lineart_x_107.jpg,0,10,15,463,670,428,629,187,996,8.4
lineart,lineart_x_108.jpg,0,13,15,803,555,730,512,883,1027,47.0
lineart,lineart_x_109.jpg,0,10,15,398,595,323,560,82,690,16.6
lineart,lineart_x_110.jpg,0,12,18,605,786,533,744,652,987,41.7
lineart,lineart_x_111.jpg,0,10,8,244,27,221,27,174,193,5.4
lineart,lineart_x_112.jpg,0,13,9,190,81,177,77,178,242,3.6
lineart,lineart_x_113.jpg,0,7,9,253,530,219,499,177,543,34.6
lineart,lineart_x_114.jpg,0,7,8,256,344,227,332,176,619,15.7
lineart,lineart_x_115.jpg,0,7,7,224,212,196,179,183,539,80.5
pixelart,pixelart_001.jpg,1,16,9,1372,672,1361,627,1315,2162,16.7
pixelart,pixelart_005.jpg,0,8,6,54,30,24,4,336,405,72.5
pixelart,pixelart_006.jpg,1,27,13,108,30,70,4,835,826,78.5
pixelart,pixelart_011.jpg,0,18,6,83,15,80,1,481,450,12.8
pixelart,pixelart_014.jpg,0,39,14,339,158,330,126,224,352,69.2
pixelart,pixelart_017.jpg,0,33,8,111,19,61,0,442,438,85.9
pixelart,pixelart_018.jpg,1,46,73,959,967,875,880,1756,1540,31.4
