cat,n,old_colors,new_colors,old_frag,new_frag,agree_pct,gate_pct
cartoons,49,11.73469387755102,11.428571428571429,335.6938775510204,227.75510204081633,52.10612244897959,12.244897959183673
lineart,50,10.1,10.28,482.98,402.3,49.71599999999998,0.0
pixelart,49,34.40816326530612,38.30612244897959,541.8367346938776,440.14285714285717,43.15306122448979,65.3061224489796
landscape,50,23.36,30.42,433.9,511.32,40.121999999999986,50.0
portrait,50,24.08,33.06,401.8,463.12,36.410000000000004,66.0
food,49,37.40816326530612,46.55102040816327,776.530612244898,741.6734693877551,37.40612244897959,51.02040816326531
random,50,21.52,29.64,404.52,437.9,39.55199999999999,54.0
